row.names,value,nme,method,time
2744,  14924,dst gw2,obs,(12/25/98 05:25:00)
2745, 119152,dst gw3,obs,(12/25/98 05:25:00)
2746,    314,dst gw-others,obs,(12/25/98 05:25:00)
2773,  33705,ori router5,obs,(12/25/98 05:29:59)
2774,  35528,ori r4-local,obs,(12/25/98 05:29:59)
2775,  14652,ori switch,obs,(12/25/98 05:29:59)
2776, 147264,ori r4-others,obs,(12/25/98 05:29:59)
2777,  77175,ori gw1,obs,(12/25/98 05:29:59)
2778,  81766,ori gw2,obs,(12/25/98 05:29:59)
2779,  61044,ori gw3,obs,(12/25/98 05:29:59)
2780,   1171,ori gw-others,obs,(12/25/98 05:29:59)
2781,  32891,dst router5,obs,(12/25/98 05:29:59)
2782,  65147,dst r4-local,obs,(12/25/98 05:29:59)
2783,  96461,dst switch,obs,(12/25/98 05:29:59)
2784,  53445,dst r4-others,obs,(12/25/98 05:29:59)
2785,  51838,dst gw1,obs,(12/25/98 05:29:59)
2786,  15996,dst gw2,obs,(12/25/98 05:29:59)
2787, 136215,dst gw3,obs,(12/25/98 05:29:59)
2788,    308,dst gw-others,obs,(12/25/98 05:29:59)
2815,  38580,ori router5,obs,(12/25/98 05:34:59)
2816,  59177,ori r4-local,obs,(12/25/98 05:34:59)
2817,  13723,ori switch,obs,(12/25/98 05:34:59)
2818, 947639,ori r4-others,obs,(12/25/98 05:34:59)
2819,  76181,ori gw1,obs,(12/25/98 05:34:59)
2820,  86789,ori gw2,obs,(12/25/98 05:34:59)
2821,  80679,ori gw3,obs,(12/25/98 05:34:59)
2822,   2518,ori gw-others,obs,(12/25/98 05:34:59)
2823,  11816,dst router5,obs,(12/25/98 05:34:59)
2824, 971977,dst r4-local,obs,(12/25/98 05:34:59)
2825,  44087,dst switch,obs,(12/25/98 05:34:59)
2826,  40926,dst r4-others,obs,(12/25/98 05:34:59)
2827,  79492,dst gw1,obs,(12/25/98 05:34:59)
2828,  11600,dst gw2,obs,(12/25/98 05:34:59)
2829, 144946,dst gw3,obs,(12/25/98 05:34:59)
2830,    442,dst gw-others,obs,(12/25/98 05:34:59)
2857,  37433,ori router5,obs,(12/25/98 05:40:00)
2858,  54282,ori r4-local,obs,(12/25/98 05:40:00)
2859,  19244,ori switch,obs,(12/25/98 05:40:00)
2860, 949790,ori r4-others,obs,(12/25/98 05:40:00)
2861,  75334,ori gw1,obs,(12/25/98 05:40:00)
2862,  62027,ori gw2,obs,(12/25/98 05:40:00)
2863,  80312,ori gw3,obs,(12/25/98 05:40:00)
2864,   2672,ori gw-others,obs,(12/25/98 05:40:00)
2865,  15032,dst router5,obs,(12/25/98 05:40:00)
2866, 979934,dst r4-local,obs,(12/25/98 05:40:00)
2867,  34678,dst switch,obs,(12/25/98 05:40:00)
2868,  39069,dst r4-others,obs,(12/25/98 05:40:00)
2869,  69587,dst gw1,obs,(12/25/98 05:40:00)
2870,  12319,dst gw2,obs,(12/25/98 05:40:00)
2871, 130071,dst gw3,obs,(12/25/98 05:40:00)
2872,    404,dst gw-others,obs,(12/25/98 05:40:00)
2899,  31694,ori router5,obs,(12/25/98 05:45:00)
2900,  73746,ori r4-local,obs,(12/25/98 05:45:00)
2901,  13644,ori switch,obs,(12/25/98 05:45:00)
2902, 946330,ori r4-others,obs,(12/25/98 05:45:00)
2903,  82183,ori gw1,obs,(12/25/98 05:45:00)
2904,  28644,ori gw2,obs,(12/25/98 05:45:00)
2905,  59040,ori gw3,obs,(12/25/98 05:45:00)
2906,   1676,ori gw-others,obs,(12/25/98 05:45:00)
2907,   9377,dst router5,obs,(12/25/98 05:45:00)
2908, 984743,dst r4-local,obs,(12/25/98 05:45:00)
2909,  52226,dst switch,obs,(12/25/98 05:45:00)
2910,  30954,dst r4-others,obs,(12/25/98 05:45:00)
2911,  53067,dst gw1,obs,(12/25/98 05:45:00)
2912,  14374,dst gw2,obs,(12/25/98 05:45:00)
2913,  91916,dst gw3,obs,(12/25/98 05:45:00)
2914,    299,dst gw-others,obs,(12/25/98 05:45:00)
2941,  33949,ori router5,obs,(12/25/98 05:49:59)
2942,  50691,ori r4-local,obs,(12/25/98 05:49:59)
2943,  12121,ori switch,obs,(12/25/98 05:49:59)
2944, 907135,ori r4-others,obs,(12/25/98 05:49:59)
2945,  85291,ori gw1,obs,(12/25/98 05:49:59)
2946,  28287,ori gw2,obs,(12/25/98 05:49:59)
2947,  70430,ori gw3,obs,(12/25/98 05:49:59)
2948,   1129,ori gw-others,obs,(12/25/98 05:49:59)
2949,  14404,dst router5,obs,(12/25/98 05:49:59)
2950, 932459,dst r4-local,obs,(12/25/98 05:49:59)
2951,  37388,dst switch,obs,(12/25/98 05:49:59)
2952,  33352,dst r4-others,obs,(12/25/98 05:49:59)
2953,  64790,dst gw1,obs,(12/25/98 05:49:59)
2954,  14880,dst gw2,obs,(12/25/98 05:49:59)
2955,  91289,dst gw3,obs,(12/25/98 05:49:59)
2956,    327,dst gw-others,obs,(12/25/98 05:49:59)
2983,  33716,ori router5,obs,(12/25/98 05:54:59)
2984,  53932,ori r4-local,obs,(12/25/98 05:54:59)
2985,  11956,ori switch,obs,(12/25/98 05:54:59)
2986, 888083,ori r4-others,obs,(12/25/98 05:54:59)
2987,  77143,ori gw1,obs,(12/25/98 05:54:59)
2988,  18966,ori gw2,obs,(12/25/98 05:54:59)
2989,  68828,ori gw3,obs,(12/25/98 05:54:59)
2990,    513,ori gw-others,obs,(12/25/98 05:54:59)
2991,  14439,dst router5,obs,(12/25/98 05:54:59)
2992, 918136,dst r4-local,obs,(12/25/98 05:54:59)
2993,  31489,dst switch,obs,(12/25/98 05:54:59)
2994,  30221,dst r4-others,obs,(12/25/98 05:54:59)
2995,  63062,dst gw1,obs,(12/25/98 05:54:59)
2996,  10791,dst gw2,obs,(12/25/98 05:54:59)
2997,  84568,dst gw3,obs,(12/25/98 05:54:59)
2998,    219,dst gw-others,obs,(12/25/98 05:54:59)
3025,  34686,ori router5,obs,(12/25/98 06:00:00)
3026,  37476,ori r4-local,obs,(12/25/98 06:00:00)
3027,  13429,ori switch,obs,(12/25/98 06:00:00)
3028, 114723,ori r4-others,obs,(12/25/98 06:00:00)
3029,  83159,ori gw1,obs,(12/25/98 06:00:00)
3030,  20437,ori gw2,obs,(12/25/98 06:00:00)
3031,  73828,ori gw3,obs,(12/25/98 06:00:00)
3032,   2696,ori gw-others,obs,(12/25/98 06:00:00)
3033,  10793,dst router5,obs,(12/25/98 06:00:00)
3034, 145773,dst r4-local,obs,(12/25/98 06:00:00)
3035,  31879,dst switch,obs,(12/25/98 06:00:00)
3036,  17232,dst r4-others,obs,(12/25/98 06:00:00)
3037,  68496,dst gw1,obs,(12/25/98 06:00:00)
3038,  16494,dst gw2,obs,(12/25/98 06:00:00)
3039,  89462,dst gw3,obs,(12/25/98 06:00:00)
3040,    305,dst gw-others,obs,(12/25/98 06:00:00)
3067,  33726,ori router5,obs,(12/25/98 06:05:00)
3068,  36638,ori r4-local,obs,(12/25/98 06:05:00)
3069,  12734,ori switch,obs,(12/25/98 06:05:00)
3070,   6725,ori r4-others,obs,(12/25/98 06:05:00)
3071,  77090,ori gw1,obs,(12/25/98 06:05:00)
3072,  24743,ori gw2,obs,(12/25/98 06:05:00)
3073,  85646,ori gw3,obs,(12/25/98 06:05:00)
3074,   1762,ori gw-others,obs,(12/25/98 06:05:00)
3075,   9946,dst router5,obs,(12/25/98 06:05:00)
3076,  31896,dst r4-local,obs,(12/25/98 06:05:00)
3077,  37353,dst switch,obs,(12/25/98 06:05:00)
3078,  16524,dst r4-others,obs,(12/25/98 06:05:00)
3079,  81011,dst gw1,obs,(12/25/98 06:05:00)
3080,  15027,dst gw2,obs,(12/25/98 06:05:00)
3081,  86877,dst gw3,obs,(12/25/98 06:05:00)
3082,    430,dst gw-others,obs,(12/25/98 06:05:00)
3109,  34906,ori router5,obs,(12/25/98 06:10:00)
3110,  38098,ori r4-local,obs,(12/25/98 06:10:00)
3111,  13147,ori switch,obs,(12/25/98 06:10:00)
3112,   6796,ori r4-others,obs,(12/25/98 06:10:00)
3113,  83727,ori gw1,obs,(12/25/98 06:10:00)
3114,  27070,ori gw2,obs,(12/25/98 06:10:00)
3115,  79390,ori gw3,obs,(12/25/98 06:10:00)
3116,    686,ori gw-others,obs,(12/25/98 06:10:00)
3117,  12172,dst router5,obs,(12/25/98 06:10:00)
3118,  33191,dst r4-local,obs,(12/25/98 06:10:00)
3119,  39397,dst switch,obs,(12/25/98 06:10:00)
3120,  15524,dst r4-others,obs,(12/25/98 06:10:00)
3121,  74989,dst gw1,obs,(12/25/98 06:10:00)
3122,  15880,dst gw2,obs,(12/25/98 06:10:00)
3123,  92493,dst gw3,obs,(12/25/98 06:10:00)
3124,    175,dst gw-others,obs,(12/25/98 06:10:00)
3151,  34911,ori router5,obs,(12/25/98 06:14:59)
3152,  38112,ori r4-local,obs,(12/25/98 06:14:59)
3153,  13149,ori switch,obs,(12/25/98 06:14:59)
3154,   6804,ori r4-others,obs,(12/25/98 06:14:59)
3155,  83772,ori gw1,obs,(12/25/98 06:14:59)
3156,  27086,ori gw2,obs,(12/25/98 06:14:59)
3157,  79348,ori gw3,obs,(12/25/98 06:14:59)
3158,    680,ori gw-others,obs,(12/25/98 06:14:59)
3159,  12187,dst router5,obs,(12/25/98 06:14:59)
3160,  33214,dst r4-local,obs,(12/25/98 06:14:59)
3161,  39411,dst switch,obs,(12/25/98 06:14:59)
3162,  15519,dst r4-others,obs,(12/25/98 06:14:59)
3163,  74945,dst gw1,obs,(12/25/98 06:14:59)
3164,  15885,dst gw2,obs,(12/25/98 06:14:59)
3165,  92525,dst gw3,obs,(12/25/98 06:14:59)
3166,    175,dst gw-others,obs,(12/25/98 06:14:59)
3193,  33269,ori router5,obs,(12/25/98 06:19:59)
3194,  50948,ori r4-local,obs,(12/25/98 06:19:59)
3195,  12988,ori switch,obs,(12/25/98 06:19:59)
3196,   6071,ori r4-others,obs,(12/25/98 06:19:59)
3197,  76484,ori gw1,obs,(12/25/98 06:19:59)
3198,  26859,ori gw2,obs,(12/25/98 06:19:59)
3199,  80049,ori gw3,obs,(12/25/98 06:19:59)
3200,   1357,ori gw-others,obs,(12/25/98 06:19:59)
3201,  11555,dst router5,obs,(12/25/98 06:19:59)
3202,  49397,dst r4-local,obs,(12/25/98 06:19:59)
3203,  34898,dst switch,obs,(12/25/98 06:19:59)
3204,  14836,dst r4-others,obs,(12/25/98 06:19:59)
3205,  70486,dst gw1,obs,(12/25/98 06:19:59)
3206,  17656,dst gw2,obs,(12/25/98 06:19:59)
3207,  88923,dst gw3,obs,(12/25/98 06:19:59)
3208,    273,dst gw-others,obs,(12/25/98 06:19:59)
3235,  32224,ori router5,obs,(12/25/98 06:25:00)
3236,  34593,ori r4-local,obs,(12/25/98 06:25:00)
3237,  18210,ori switch,obs,(12/25/98 06:25:00)
3238,   7391,ori r4-others,obs,(12/25/98 06:25:00)
3239,  80280,ori gw1,obs,(12/25/98 06:25:00)
3240,  22143,ori gw2,obs,(12/25/98 06:25:00)
3241,  80054,ori gw3,obs,(12/25/98 06:25:00)
3242,   1029,ori gw-others,obs,(12/25/98 06:25:00)
3243,  12353,dst router5,obs,(12/25/98 06:25:00)
3244,  37357,dst r4-local,obs,(12/25/98 06:25:00)
3245,  34622,dst switch,obs,(12/25/98 06:25:00)
3246,  13558,dst r4-others,obs,(12/25/98 06:25:00)
3247,  72214,dst gw1,obs,(12/25/98 06:25:00)
3248,  12616,dst gw2,obs,(12/25/98 06:25:00)
3249,  92973,dst gw3,obs,(12/25/98 06:25:00)
3250,    230,dst gw-others,obs,(12/25/98 06:25:00)
3277,  34128,ori router5,obs,(12/25/98 06:30:00)
3278,  33986,ori r4-local,obs,(12/25/98 06:30:00)
3279,  14515,ori switch,obs,(12/25/98 06:30:00)
3280,   6274,ori r4-others,obs,(12/25/98 06:30:00)
3281,  89644,ori gw1,obs,(12/25/98 06:30:00)
3282,  22475,ori gw2,obs,(12/25/98 06:30:00)
3283,  79704,ori gw3,obs,(12/25/98 06:30:00)
3284,   1805,ori gw-others,obs,(12/25/98 06:30:00)
3285,  13434,dst router5,obs,(12/25/98 06:30:00)
3286,  33885,dst r4-local,obs,(12/25/98 06:30:00)
3287,  32622,dst switch,obs,(12/25/98 06:30:00)
3288,  14141,dst r4-others,obs,(12/25/98 06:30:00)
3289,  74199,dst gw1,obs,(12/25/98 06:30:00)
3290,  11108,dst gw2,obs,(12/25/98 06:30:00)
3291, 102825,dst gw3,obs,(12/25/98 06:30:00)
3292,    317,dst gw-others,obs,(12/25/98 06:30:00)
3319,  34654,ori router5,obs,(12/25/98 06:34:59)
3320,  39769,ori r4-local,obs,(12/25/98 06:34:59)
3321,  18303,ori switch,obs,(12/25/98 06:34:59)
3322,   5595,ori r4-others,obs,(12/25/98 06:34:59)
3323,  85161,ori gw1,obs,(12/25/98 06:34:59)
3324,  23210,ori gw2,obs,(12/25/98 06:34:59)
3325,  83323,ori gw3,obs,(12/25/98 06:34:59)
3326,   1632,ori gw-others,obs,(12/25/98 06:34:59)
3327,   9366,dst router5,obs,(12/25/98 06:34:59)
3328,  36153,dst r4-local,obs,(12/25/98 06:34:59)
3329,  39602,dst switch,obs,(12/25/98 06:34:59)
3330,  17561,dst r4-others,obs,(12/25/98 06:34:59)
3331,  80335,dst gw1,obs,(12/25/98 06:34:59)
3332,  10295,dst gw2,obs,(12/25/98 06:34:59)
3333,  98021,dst gw3,obs,(12/25/98 06:34:59)
3334,    315,dst gw-others,obs,(12/25/98 06:34:59)
3361,  32201,ori router5,obs,(12/25/98 06:39:59)
3362,  35765,ori r4-local,obs,(12/25/98 06:39:59)
3363,  19021,ori switch,obs,(12/25/98 06:39:59)
3364,   5321,ori r4-others,obs,(12/25/98 06:39:59)
3365,  92372,ori gw1,obs,(12/25/98 06:39:59)
3366,  28740,ori gw2,obs,(12/25/98 06:39:59)
3367,  72884,ori gw3,obs,(12/25/98 06:39:59)
3368,   1282,ori gw-others,obs,(12/25/98 06:39:59)
3369,   9742,dst router5,obs,(12/25/98 06:39:59)
3370,  39698,dst r4-local,obs,(12/25/98 06:39:59)
3371,  31829,dst switch,obs,(12/25/98 06:39:59)
3372,  16492,dst r4-others,obs,(12/25/98 06:39:59)
3373,  70371,dst gw1,obs,(12/25/98 06:39:59)
3374,  15228,dst gw2,obs,(12/25/98 06:39:59)
3375, 103895,dst gw3,obs,(12/25/98 06:39:59)
3376,    331,dst gw-others,obs,(12/25/98 06:39:59)
3403,  33058,ori router5,obs,(12/25/98 06:45:00)
3404,  43988,ori r4-local,obs,(12/25/98 06:45:00)
3405,  11847,ori switch,obs,(12/25/98 06:45:00)
3406,   5454,ori r4-others,obs,(12/25/98 06:45:00)
3407,  82855,ori gw1,obs,(12/25/98 06:45:00)
3408,  22174,ori gw2,obs,(12/25/98 06:45:00)
3409,  72822,ori gw3,obs,(12/25/98 06:45:00)
3410,   1369,ori gw-others,obs,(12/25/98 06:45:00)
3411,   9598,dst router5,obs,(12/25/98 06:45:00)
3412,  31136,dst r4-local,obs,(12/25/98 06:45:00)
3413,  45521,dst switch,obs,(12/25/98 06:45:00)
3414,  14030,dst r4-others,obs,(12/25/98 06:45:00)
3415,  68855,dst gw1,obs,(12/25/98 06:45:00)
3416,  13052,dst gw2,obs,(12/25/98 06:45:00)
3417,  91079,dst gw3,obs,(12/25/98 06:45:00)
3418,    297,dst gw-others,obs,(12/25/98 06:45:00)
3445,  39123,ori router5,obs,(12/25/98 06:50:00)
3446,  31236,ori r4-local,obs,(12/25/98 06:50:00)
3447,  14020,ori switch,obs,(12/25/98 06:50:00)
3448,   5557,ori r4-others,obs,(12/25/98 06:50:00)
3449,  88779,ori gw1,obs,(12/25/98 06:50:00)
3450,  17933,ori gw2,obs,(12/25/98 06:50:00)
3451,  77628,ori gw3,obs,(12/25/98 06:50:00)
3452,   1122,ori gw-others,obs,(12/25/98 06:50:00)
3453,  11485,dst router5,obs,(12/25/98 06:50:00)
3454,  27437,dst r4-local,obs,(12/25/98 06:50:00)
3455,  37956,dst switch,obs,(12/25/98 06:50:00)
3456,  16886,dst r4-others,obs,(12/25/98 06:50:00)
3457,  72965,dst gw1,obs,(12/25/98 06:50:00)
3458,  12735,dst gw2,obs,(12/25/98 06:50:00)
3459,  95675,dst gw3,obs,(12/25/98 06:50:00)
3460,    259,dst gw-others,obs,(12/25/98 06:50:00)
3487,  33140,ori router5,obs,(12/25/98 06:55:00)
3488,  56149,ori r4-local,obs,(12/25/98 06:55:00)
3489,  16648,ori switch,obs,(12/25/98 06:55:00)
3490,   5373,ori r4-others,obs,(12/25/98 06:55:00)
3491,  86732,ori gw1,obs,(12/25/98 06:55:00)
3492,  13130,ori gw2,obs,(12/25/98 06:55:00)
3493,  72290,ori gw3,obs,(12/25/98 06:55:00)
3494,   1932,ori gw-others,obs,(12/25/98 06:55:00)
3495,   8937,dst router5,obs,(12/25/98 06:55:00)
3496,  56573,dst r4-local,obs,(12/25/98 06:55:00)
3497,  36587,dst switch,obs,(12/25/98 06:55:00)
3498,  13646,dst r4-others,obs,(12/25/98 06:55:00)
3499,  66401,dst gw1,obs,(12/25/98 06:55:00)
3500,  10457,dst gw2,obs,(12/25/98 06:55:00)
3501,  92451,dst gw3,obs,(12/25/98 06:55:00)
3502,    316,dst gw-others,obs,(12/25/98 06:55:00)
3529,  33578,ori router5,obs,(12/25/98 06:59:59)
3530,  31379,ori r4-local,obs,(12/25/98 06:59:59)
3531,  13506,ori switch,obs,(12/25/98 06:59:59)
3532,   4779,ori r4-others,obs,(12/25/98 06:59:59)
3533, 105317,ori gw1,obs,(12/25/98 06:59:59)
3534,  17297,ori gw2,obs,(12/25/98 06:59:59)
3535,  84447,ori gw3,obs,(12/25/98 06:59:59)
3536,   1155,ori gw-others,obs,(12/25/98 06:59:59)
3537,   8343,dst router5,obs,(12/25/98 06:59:59)
3538,  32411,dst r4-local,obs,(12/25/98 06:59:59)
3539,  34127,dst switch,obs,(12/25/98 06:59:59)
3540,  13471,dst r4-others,obs,(12/25/98 06:59:59)
3541,  79707,dst gw1,obs,(12/25/98 06:59:59)
3542,  19244,dst gw2,obs,(12/25/98 06:59:59)
3543, 103937,dst gw3,obs,(12/25/98 06:59:59)
3544,    203,dst gw-others,obs,(12/25/98 06:59:59)
3571,  37170,ori router5,obs,(12/25/98 07:04:59)
3572,  42998,ori r4-local,obs,(12/25/98 07:04:59)
3573,  28566,ori switch,obs,(12/25/98 07:04:59)
3574,   5556,ori r4-others,obs,(12/25/98 07:04:59)
3575,  98194,ori gw1,obs,(12/25/98 07:04:59)
3576,  16895,ori gw2,obs,(12/25/98 07:04:59)
3577,  74343,ori gw3,obs,(12/25/98 07:04:59)
3578,    691,ori gw-others,obs,(12/25/98 07:04:59)
3579,  10158,dst router5,obs,(12/25/98 07:04:59)
3580,  41136,dst r4-local,obs,(12/25/98 07:04:59)
3581,  52899,dst switch,obs,(12/25/98 07:04:59)
3582,  14307,dst r4-others,obs,(12/25/98 07:04:59)
3583,  74478,dst gw1,obs,(12/25/98 07:04:59)
3584,  23146,dst gw2,obs,(12/25/98 07:04:59)
3585,  88003,dst gw3,obs,(12/25/98 07:04:59)
3586,    249,dst gw-others,obs,(12/25/98 07:04:59)
3613,  33417,ori router5,obs,(12/25/98 07:10:00)
3614,  39774,ori r4-local,obs,(12/25/98 07:10:00)
3615,  13211,ori switch,obs,(12/25/98 07:10:00)
3616,   8686,ori r4-others,obs,(12/25/98 07:10:00)
3617,  50028,ori gw1,obs,(12/25/98 07:10:00)
3618,  18420,ori gw2,obs,(12/25/98 07:10:00)
3619,  44711,ori gw3,obs,(12/25/98 07:10:00)
3620,    820,ori gw-others,obs,(12/25/98 07:10:00)
3621,  11537,dst router5,obs,(12/25/98 07:10:00)
3622,  34612,dst r4-local,obs,(12/25/98 07:10:00)
3623,  39108,dst switch,obs,(12/25/98 07:10:00)
3624,  14264,dst r4-others,obs,(12/25/98 07:10:00)
3625,  37459,dst gw1,obs,(12/25/98 07:10:00)
3626,   9567,dst gw2,obs,(12/25/98 07:10:00)
3627,  57218,dst gw3,obs,(12/25/98 07:10:00)
3628,   5302,dst gw-others,obs,(12/25/98 07:10:00)
3655,  33390,ori router5,obs,(12/25/98 07:15:00)
3656,  39736,ori r4-local,obs,(12/25/98 07:15:00)
3657,  13106,ori switch,obs,(12/25/98 07:15:00)
3658,   8709,ori r4-others,obs,(12/25/98 07:15:00)
3659,  49706,ori gw1,obs,(12/25/98 07:15:00)
3660,  18431,ori gw2,obs,(12/25/98 07:15:00)
3661,  44513,ori gw3,obs,(12/25/98 07:15:00)
3662,    822,ori gw-others,obs,(12/25/98 07:15:00)
3663,  11547,dst router5,obs,(12/25/98 07:15:00)
3664,  34546,dst r4-local,obs,(12/25/98 07:15:00)
3665,  39015,dst switch,obs,(12/25/98 07:15:00)
3666,  14266,dst r4-others,obs,(12/25/98 07:15:00)
3667,  37211,dst gw1,obs,(12/25/98 07:15:00)
3668,   9476,dst gw2,obs,(12/25/98 07:15:00)
3669,  57014,dst gw3,obs,(12/25/98 07:15:00)
3670,   5338,dst gw-others,obs,(12/25/98 07:15:00)
3697,  36814,ori router5,obs,(12/25/98 07:19:59)
3698,  45485,ori r4-local,obs,(12/25/98 07:19:59)
3699,  13988,ori switch,obs,(12/25/98 07:19:59)
3700,   7632,ori r4-others,obs,(12/25/98 07:19:59)
3701,  25137,ori gw1,obs,(12/25/98 07:19:59)
3702,  23388,ori gw2,obs,(12/25/98 07:19:59)
3703,  44924,ori gw3,obs,(12/25/98 07:19:59)
3704,   1444,ori gw-others,obs,(12/25/98 07:19:59)
3705,  14309,dst router5,obs,(12/25/98 07:19:59)
3706,  39878,dst r4-local,obs,(12/25/98 07:19:59)
3707,  39762,dst switch,obs,(12/25/98 07:19:59)
3708,  16346,dst r4-others,obs,(12/25/98 07:19:59)
3709,  37169,dst gw1,obs,(12/25/98 07:19:59)
3710,   9464,dst gw2,obs,(12/25/98 07:19:59)
3711,  29743,dst gw3,obs,(12/25/98 07:19:59)
3712,  12142,dst gw-others,obs,(12/25/98 07:19:59)
3739,  32169,ori router5,obs,(12/25/98 07:24:59)
3740,  32092,ori r4-local,obs,(12/25/98 07:24:59)
3741,  11629,ori switch,obs,(12/25/98 07:24:59)
3742,   5377,ori r4-others,obs,(12/25/98 07:24:59)
3743,  31113,ori gw1,obs,(12/25/98 07:24:59)
3744,  12534,ori gw2,obs,(12/25/98 07:24:59)
3745,  47039,ori gw3,obs,(12/25/98 07:24:59)
3746,   2008,ori gw-others,obs,(12/25/98 07:24:59)
3747,   8877,dst router5,obs,(12/25/98 07:24:59)
3748,  29827,dst r4-local,obs,(12/25/98 07:24:59)
3749,  32736,dst switch,obs,(12/25/98 07:24:59)
3750,  14329,dst r4-others,obs,(12/25/98 07:24:59)
3751,  44117,dst gw1,obs,(12/25/98 07:24:59)
3752,   7502,dst gw2,obs,(12/25/98 07:24:59)
3753,  36241,dst gw3,obs,(12/25/98 07:24:59)
3754,    331,dst gw-others,obs,(12/25/98 07:24:59)
3781,  30271,ori router5,obs,(12/25/98 07:30:00)
3782,  31546,ori r4-local,obs,(12/25/98 07:30:00)
3783,  12143,ori switch,obs,(12/25/98 07:30:00)
3784,   5159,ori r4-others,obs,(12/25/98 07:30:00)
3785,  17231,ori gw1,obs,(12/25/98 07:30:00)
3786,  10870,ori gw2,obs,(12/25/98 07:30:00)
3787,  57336,ori gw3,obs,(12/25/98 07:30:00)
3788,    281,ori gw-others,obs,(12/25/98 07:30:00)
3789,   6937,dst router5,obs,(12/25/98 07:30:00)
3790,  30722,dst r4-local,obs,(12/25/98 07:30:00)
3791,  32495,dst switch,obs,(12/25/98 07:30:00)
3792,  12308,dst r4-others,obs,(12/25/98 07:30:00)
3793,  53480,dst gw1,obs,(12/25/98 07:30:00)
3794,   9019,dst gw2,obs,(12/25/98 07:30:00)
3795,  19737,dst gw3,obs,(12/25/98 07:30:00)
3796,    138,dst gw-others,obs,(12/25/98 07:30:00)
3823,  31804,ori router5,obs,(12/25/98 07:35:00)
3824,  42991,ori r4-local,obs,(12/25/98 07:35:00)
3825,  12107,ori switch,obs,(12/25/98 07:35:00)
3826,   5045,ori r4-others,obs,(12/25/98 07:35:00)
3827,  35652,ori gw1,obs,(12/25/98 07:35:00)
3828,  18861,ori gw2,obs,(12/25/98 07:35:00)
3829,  45916,ori gw3,obs,(12/25/98 07:35:00)
3830,    898,ori gw-others,obs,(12/25/98 07:35:00)
3831,   7809,dst router5,obs,(12/25/98 07:35:00)
3832,  37776,dst r4-local,obs,(12/25/98 07:35:00)
3833,  36457,dst switch,obs,(12/25/98 07:35:00)
3834,  13151,dst r4-others,obs,(12/25/98 07:35:00)
3835,  45665,dst gw1,obs,(12/25/98 07:35:00)
3836,  26937,dst gw2,obs,(12/25/98 07:35:00)
3837,  25275,dst gw3,obs,(12/25/98 07:35:00)
3838,    203,dst gw-others,obs,(12/25/98 07:35:00)
3865,  32980,ori router5,obs,(12/25/98 07:40:00)
3866,  36619,ori r4-local,obs,(12/25/98 07:40:00)
3867,  15724,ori switch,obs,(12/25/98 07:40:00)
3868,   7946,ori r4-others,obs,(12/25/98 07:40:00)
3869,  28917,ori gw1,obs,(12/25/98 07:40:00)
3870,  24452,ori gw2,obs,(12/25/98 07:40:00)
3871,  51448,ori gw3,obs,(12/25/98 07:40:00)
3872,    763,ori gw-others,obs,(12/25/98 07:40:00)
3873,   8548,dst router5,obs,(12/25/98 07:40:00)
3874,  41602,dst r4-local,obs,(12/25/98 07:40:00)
3875,  30911,dst switch,obs,(12/25/98 07:40:00)
3876,  16840,dst r4-others,obs,(12/25/98 07:40:00)
3877,  50284,dst gw1,obs,(12/25/98 07:40:00)
3878,  28191,dst gw2,obs,(12/25/98 07:40:00)
3879,  22279,dst gw3,obs,(12/25/98 07:40:00)
3880,    193,dst gw-others,obs,(12/25/98 07:40:00)
3907,  33433,ori router5,obs,(12/25/98 07:44:59)
3908, 156255,ori r4-local,obs,(12/25/98 07:44:59)
3909,   9115,ori switch,obs,(12/25/98 07:44:59)
3910,   5805,ori r4-others,obs,(12/25/98 07:44:59)
3911,  31706,ori gw1,obs,(12/25/98 07:44:59)
3912,  18528,ori gw2,obs,(12/25/98 07:44:59)
3913,  44224,ori gw3,obs,(12/25/98 07:44:59)
3914,    697,ori gw-others,obs,(12/25/98 07:44:59)
3915,   6234,dst router5,obs,(12/25/98 07:44:59)
3916, 144541,dst r4-local,obs,(12/25/98 07:44:59)
3917,  41813,dst switch,obs,(12/25/98 07:44:59)
3918,  15590,dst r4-others,obs,(12/25/98 07:44:59)
3919,  41886,dst gw1,obs,(12/25/98 07:44:59)
3920,  26083,dst gw2,obs,(12/25/98 07:44:59)
3921,  23465,dst gw3,obs,(12/25/98 07:44:59)
3922,    151,dst gw-others,obs,(12/25/98 07:44:59)
3949,  31763,ori router5,obs,(12/25/98 07:49:59)
3950, 563282,ori r4-local,obs,(12/25/98 07:49:59)
3951,   7966,ori switch,obs,(12/25/98 07:49:59)
3952,   5823,ori r4-others,obs,(12/25/98 07:49:59)
3953,  19825,ori gw1,obs,(12/25/98 07:49:59)
3954,  19927,ori gw2,obs,(12/25/98 07:49:59)
3955,  46061,ori gw3,obs,(12/25/98 07:49:59)
3956,   1593,ori gw-others,obs,(12/25/98 07:49:59)
3957,   6888,dst router5,obs,(12/25/98 07:49:59)
3958, 562558,dst r4-local,obs,(12/25/98 07:49:59)
3959,  29144,dst switch,obs,(12/25/98 07:49:59)
3960,  14526,dst r4-others,obs,(12/25/98 07:49:59)
3961,  43761,dst gw1,obs,(12/25/98 07:49:59)
3962,  13968,dst gw2,obs,(12/25/98 07:49:59)
